,city_code,Settlement_Council,econ_per_capita,vice_per_capita,property_per_capita,sex_per_capita,fraud_per_capita,body_per_capita,public_order_per_capita,traffic_per_capita,other_per_capita,license_per_capita,person_per_capita,security_per_capita,administrative_per_capita,last_city_type
0,0026,ראש פינה,0.0,0.8507558083794062,0.22587667306075823,0.0,0.16187828236021007,0.20812922017741295,0.3229361749583716,0.7625579240037071,0.08143342601173927,0.0,0.0,0.0,0.0,1.0
1,0026,ראש פינה,0.20887520304543236,0.22281699743270164,0.25975817401987195,0.0,0.8903305529811555,0.13875281345160864,0.296024827045174,0.0,0.08143342601173927,0.0,0.0,0.0,0.0,1.0
2,0026,ראש פינה,0.10443760152271618,0.22281699743270164,0.2145828394077203,0.0,0.16187828236021007,0.2775056269032173,0.2287464572621799,0.0,0.08143342601173927,0.0,0.0,0.0,0.0,1.0
3,0026,ראש פינה,0.0,0.1620487254056012,0.22587667306075823,0.0,0.32375656472042014,0.13875281345160864,0.28256915308857516,0.0,0.24430027803521778,0.1417262456419083,0.24721217375706298,0.0,0.0,1.0
4,0026,ראש פינה,0.0,0.5874266295953043,0.2032890057546824,0.0,0.48563484708063026,0.13875281345160864,0.20183510934898227,0.5083719493358048,0.08143342601173927,0.0,0.24721217375706298,0.0,0.0,1.0
5,0026,ראש פינה,0.0,0.18230481608130134,0.2032890057546824,0.0,0.32375656472042014,0.2775056269032173,0.2287464572621799,0.2541859746679024,0.08143342601173927,0.1417262456419083,0.24721217375706298,0.0,0.0,1.0
6,0026,ראש פינה,0.0,0.2025609067570015,0.1919951721016445,0.0,0.08093914118010503,0.0,0.18837943539238347,0.2541859746679024,0.24430027803521778,0.0,0.0,0.0,0.0,1.0
7,0026,ראש פינה,0.05221880076135809,0.0810243627028006,0.24846434036683404,0.23562727531543973,0.16187828236021007,0.2428174235403151,0.2152907833055811,0.0,0.08143342601173927,0.0,0.0,0.0,0.0,1.0
8,0026,ראש פינה,0.0,0.14179263472990106,0.25975817401987195,0.0,0.08093914118010503,0.06937640672580432,0.1614680874791858,0.1270929873339512,0.16286685202347853,0.0,0.0,0.0,0.0,1.0
9,0026,ראש פינה,0.0,0.18230481608130134,0.12423217018341702,0.0,0.08093914118010503,0.06937640672580432,0.1749237614357846,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0026,ראש פינה,0.0,0.2633291787841019,0.2145828394077203,0.23562727531543973,0.7284522706209453,0.06937640672580432,0.40367021869796454,0.1270929873339512,0.48860055607043557,0.0,0.0,0.0,0.0,1.0
11,0026,ראש פינה,0.0,0.4253779041897031,0.12423217018341702,0.23562727531543973,0.16187828236021007,0.0,0.2152907833055811,0.0,0.4071671300586963,0.0,0.0,0.0,0.0,1.0
12,0026,ראש פינה,0.05221880076135809,0.36460963216260267,0.13552600383645494,0.0,0.08093914118010503,0.06937640672580432,0.3363918489149704,0.6354649366697559,0.16286685202347853,0.0,0.0,0.0,0.0,1.0
13,0026,ראש פינה,0.15665640228407426,0.24307308810840178,0.16940750479556865,0.23562727531543973,0.4046957059005252,0.10406461008870647,0.4171258926545634,0.5083719493358048,0.4071671300586963,0.0,0.49442434751412595,0.0,0.0,1.0
14,0026,ראש פינה,0.05221880076135809,0.10128045337850075,0.14681983748949284,0.7068818259463192,0.24281742354031513,0.06937640672580432,0.3498475228715692,0.2541859746679024,0.24430027803521778,0.0,0.0,0.0,0.0,1.0
15,0026,ראש פינה,0.05221880076135809,0.22281699743270164,0.23717050671379614,0.47125455063087945,0.08093914118010503,0.20812922017741295,0.47094858848095866,0.0,0.24430027803521778,0.0,0.0,0.0,0.0,1.0
16,0026,ראש פינה,0.05221880076135809,0.3240974508112024,0.16940750479556865,0.0,0.0,0.1734410168145108,0.28256915308857516,0.0,0.24430027803521778,0.1417262456419083,0.0,0.04157458235308096,0.0,1.0
17,0026,ראש פינה,0.05221880076135809,0.1620487254056012,0.16940750479556865,0.23562727531543973,0.16187828236021007,0.03468820336290216,0.40367021869796454,0.38127896200185357,0.6514674080939141,0.0,0.24721217375706298,0.0,0.0,1.0
18,0026,ראש פינה,0.05221880076135809,0.22281699743270164,0.033881500959113735,0.0,0.0,0.20812922017741295,0.2152907833055811,0.2541859746679024,0.24430027803521778,0.0,0.0,0.0,0.0,1.0
19,0026,ראש פינה,0.05221880076135809,0.060768272027100445,0.23717050671379614,0.23562727531543973,0.32375656472042014,0.2775056269032173,0.4171258926545634,0.38127896200185357,0.0,0.0,0.0,0.0,0.0,1.0
20,0026,ראש פינה,0.10443760152271618,0.0405121813514003,0.12423217018341702,0.23562727531543973,0.32375656472042014,0.2428174235403151,0.25565780517537756,0.0,0.4071671300586963,0.0,0.0,0.0,0.0,1.0
21,0028,מזכרת בתיה,0.010959041627626823,0.008502199885534412,0.12799141175335327,0.0,0.10191908713692946,0.08007928275044457,0.07906953220502402,0.0,0.0170902489626556,0.0,0.0,0.0,0.0,1.0
22,0028,מזכרת בתיה,0.0,0.02125549971383603,0.09243824182186626,0.0,0.01698651452282158,0.09463915234143451,0.033886942373581724,0.02667271784232365,0.0170902489626556,0.0,0.0,0.0,0.0,1.0
23,0028,מזכרת בתיה,0.0,0.004251099942767206,0.047404226575316025,0.0494505634203889,0.03397302904564316,0.03639967397747481,0.0705977966116286,0.0,0.0,0.0892313000148192,0.0,0.0,0.0,1.0
24,0028,מזכרת בתיה,0.0,0.02125549971383603,0.06873612853420824,0.0,0.0,0.03639967397747481,0.05365432542483773,0.0,0.0,0.0,0.0,0.0,0.0,1.0
